id,unix_timestamp,bpm,rr
1,2016-11-02 02:41:37,79.0,759.494
1,2016-11-02 02:41:39,70.0,857.143
1,2016-11-02 02:41:40,72.0,833.333
1,2016-11-02 02:41:42,71.0,845.07
1,2016-11-02 02:41:43,69.0,869.565
1,2016-11-02 02:41:44,68.0,882.353
1,2016-11-02 02:41:45,67.0,895.522
1,2016-11-02 02:41:46,66.0,909.091
1,2016-11-02 02:41:48,65.0,923.077
1,2016-11-02 02:41:49,64.0,937.5
1,2016-11-02 02:41:51,65.0,923.077
1,2016-11-02 02:41:53,67.0,895.522
1,2016-11-02 02:41:54,68.0,882.353
1,2016-11-02 02:41:55,70.0,857.143
1,2016-11-02 02:41:56,71.0,845.07
1,2016-11-02 02:41:59,72.0,833.333
1,2016-11-02 02:42:00,73.0,821.918
1,2016-11-02 02:42:01,74.0,810.811
1,2016-11-02 02:42:05,73.0,821.918
1,2016-11-02 02:42:09,72.0,833.333
1,2016-11-02 02:42:10,71.0,845.07
1,2016-11-02 02:42:12,70.0,857.143
1,2016-11-02 02:42:15,69.0,869.565
1,2016-11-02 02:42:17,68.0,882.353
1,2016-11-02 02:42:18,67.0,895.522
1,2016-11-02 02:42:21,68.0,882.353
1,2016-11-02 02:42:34,67.0,895.522
1,2016-11-02 02:42:39,68.0,882.353
1,2016-11-02 02:42:41,71.0,845.07
1,2016-11-02 02:42:44,70.0,857.143
1,2016-11-02 02:42:45,68.0,882.353
1,2016-11-02 02:42:47,67.0,895.522
1,2016-11-02 02:42:49,66.0,909.091
1,2016-11-02 02:42:52,67.0,895.522
1,2016-11-02 02:42:54,68.0,882.353
1,2016-11-02 02:42:55,67.0,895.522
1,2016-11-02 02:42:57,66.0,909.091
1,2016-11-02 02:42:59,65.0,923.077
1,2016-11-02 02:43:00,64.0,937.5
1,2016-11-02 02:43:02,65.0,923.077
1,2016-11-02 02:43:03,66.0,909.091
1,2016-11-02 02:43:05,67.0,895.522
1,2016-11-02 02:43:10,67.0,895.522
1,2016-11-02 02:43:15,68.0,882.353
1,2016-11-02 02:43:18,70.0,857.143
1,2016-11-02 02:43:20,69.0,869.565
1,2016-11-02 02:43:22,68.0,882.353
1,2016-11-02 02:43:24,67.0,895.522
1,2016-11-02 02:43:25,68.0,882.353
1,2016-11-02 02:43:28,69.0,869.565
1,2016-11-02 02:43:31,68.0,882.353
1,2016-11-02 02:43:33,67.0,895.522
1,2016-11-02 02:43:37,68.0,882.353
1,2016-11-02 02:43:44,69.0,869.565
1,2016-11-02 02:43:47,70.0,857.143
1,2016-11-02 02:43:50,71.0,845.07
1,2016-11-02 02:43:57,70.0,857.143
1,2016-11-02 02:43:59,69.0,869.565
1,2016-11-02 02:44:02,70.0,857.143
1,2016-11-02 02:44:08,69.0,869.565
1,2016-11-02 02:46:55,79.0,759.494
1,2016-11-02 02:46:56,79.0,759.494
1,2016-11-02 02:46:58,75.0,800.0
1,2016-11-02 02:46:59,76.0,789.474
1,2016-11-02 02:47:01,76.0,789.474
1,2016-11-02 02:47:02,75.0,800.0
1,2016-11-02 02:47:04,74.0,810.811
1,2016-11-02 02:47:06,75.0,800.0
1,2016-11-02 02:47:24,74.0,810.811
1,2016-11-02 02:47:37,73.0,821.918
1,2016-11-02 02:47:47,72.0,833.333
1,2016-11-02 02:48:02,71.0,845.07
1,2016-11-02 02:48:11,72.0,833.333
1,2016-11-02 02:48:22,71.0,845.07
1,2016-11-02 02:48:27,72.0,833.333
1,2016-11-02 02:48:37,71.0,845.07
1,2016-11-02 02:48:52,72.0,833.333
1,2016-11-02 02:48:53,73.0,821.918
1,2016-11-02 02:48:59,71.0,845.07
1,2016-11-02 02:49:00,72.0,833.333
1,2016-11-02 02:49:01,74.0,810.811
1,2016-11-02 02:49:03,80.0,750.0
1,2016-11-02 02:49:04,82.0,731.707
1,2016-11-02 02:49:05,83.0,722.892
1,2016-11-02 02:49:11,79.0,759.494
1,2016-11-02 02:49:12,76.0,789.474
1,2016-11-02 02:49:13,73.0,821.918
1,2016-11-02 02:49:14,72.0,833.333
1,2016-11-02 02:49:15,70.0,857.143
1,2016-11-02 02:49:16,69.0,869.565
1,2016-11-02 02:49:17,70.0,857.143
1,2016-11-02 02:49:21,71.0,845.07
1,2016-11-02 02:49:24,72.0,833.333
1,2016-11-02 02:49:25,73.0,821.918
1,2016-11-02 02:49:36,72.0,833.333
1,2016-11-02 02:49:41,73.0,821.918
